" (1)",2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.10,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01
"Total",18244,16618,17081,15936,15609,15201,15280,15759,15015,15821,16333,18993,18979,17060,17500,16178,15540,15192,15729,16290,15330,16260,16596,18694,19406,18434,17974,16232,16318,15887,15842,17132,16269,16521,17763,19776,19623,18410,18976,16755,16522,16101,16949,16909,16754,16635,18237,20561,20765,18959,18261,17318,17054,16631,16984,17189,16473,16415,17812,20139,20721,18209,18124,17289,16333,15879,16850,17642,15947,16754,17957,20027,19725,18139,17724,16364,16394,15467,15780,16021,16059,15834,16768,19498,20296,18501,18452,17213,16699,16759,17251,17494,17185,16814,17908,21225,21607,19085,18666,16809,17255,15832,17398,17565,15656,16166,16830,20406,20061
"Coal",2991,2792,2989,3117,2957,2963,2859,2930,2869,3080,3050,3217,2970,2756,2987,2856,3074,2893,3005,2882,2893,3156,2920,3178,2946,2710,2871,2666,2776,2745,2859,2857,2913,3038,2896,3093,3061,2659,2942,2655,2798,2733,2878,2754,2778,2740,2921,3008,2910,2626,2787,2760,2897,2866,2917,2873,2718,2934,2962,3046,2784,2663,2831,2742,2749,2673,2702,2772,2544,2811,2791,2827,2768,2468,2644,2423,2365,2422,2610,2613,2641,2679,2607,2910,2777,2435,2836,2544,2686,2517,2717,2761,2696,2636,2800,2846,2788,2363,2455,2322,2685,2596,2602,2552,2227,2367,2418,2512,2536
"Natural gas",111,88,79,59,59,79,100,101,86,63,78,115,113,103,69,63,65,96,108,105,79,82,114,132,143,133,132,144,149,161,155,167,133,128,172,180,171,163,171,152,126,133,151,160,150,121,156,179,176,147,147,123,121,152,156,158,133,115,170,174,179,149,149,149,145,154,167,184,140,155,179,183,183,198,182,169,150,208,175,184,159,142,175,182,194,156,181,174,144,190,228,201,206,122,180,228,213,198,167,150,142,188,184,198,148,153,165,324,127
"City gas",3010,2647,2312,1706,1375,1160,1164,1073,1066,1312,1796,2865,3071,2631,2450,1802,1336,1152,1223,1107,1034,1252,1731,2516,3082,2852,2484,1739,1344,1166,1137,1061,1036,1292,1999,2735,3100,3000,2554,1876,1363,1182,1134,1090,1144,1285,2138,3258,3545,3240,2550,1842,1450,1223,1188,1102,1088,1494,2090,2982,3413,2916,2465,2032,1490,1224,1188,1115,1089,1329,1973,2860,3095,2858,2442,1918,1387,1142,1114,1098,1105,1396,2025,3052,3612,2936,2442,1811,1483,1265,1174,1123,1081,1382,2062,3010,3539,3280,2673,1939,1466,1263,1237,1124,1106,1385,1891,3143,3458
"Petroleum",7687,6972,7634,7231,7603,7358,7361,7873,7360,7709,7569,8385,8229,7386,7875,7530,7438,7413,7654,8241,7548,8129,7956,8577,8553,8272,8152,7680,8314,7973,7776,8827,8228,8254,8590,9209,8526,7977,8865,7940,8384,8142,8556,8515,8527,8679,8754,9233,8946,7992,8300,8305,8519,8285,8379,8260,8256,7826,8254,9090,9224,7892,8215,8076,7920,7813,8559,8959,7928,8424,8782,9396,8739,7904,7971,7686,8688,7763,7742,7796,7752,7694,7688,8427,8405,8189,8444,8391,8296,8586,8615,8647,8802,8498,8431,10008,9682,8189,8570,7950,8750,7494,8623,8809,7728,8029,8021,9352,8480
"Hydro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Biofuels and waste",372,329,398,381,381,394,380,362,369,384,373,407,372,332,399,390,355,352,367,365,373,389,392,424,460,422,499,478,438,436,431,419,426,457,472,516,499,469,550,520,497,491,506,484,508,471,504,532,553,489,539,548,531,549,542,532,510,524,531,549,482,412,489,490,477,487,509,497,463,463,471,512,504,483,507,494,446,472,484,452,485,460,482,557,534,488,558,538,500,528,511,512,502,473,506,593,555,503,564,537,513,532,526,512,502,487,485,525,502
"Geothermal/ solar/ etc.",24,21,24,20,21,22,20,20,20,19,19,24,32,29,31,29,21,18,24,23,24,26,30,37,44,40,42,38,23,23,26,27,29,33,35,46,56,48,54,46,35,34,40,38,39,42,43,59,74,65,59,51,40,48,45,43,44,51,57,67,80,68,72,55,49,57,62,58,58,57,62,79,108,99,85,74,43,46,50,51,49,50,75,112,118,100,94,73,48,58,56,54,57,55,71,115,103,91,72,72,46,46,50,55,46,44,59,77,116
"Electricity",3684,3473,3416,3302,3136,3180,3354,3359,3200,3164,3256,3580,3822,3520,3437,3372,3180,3219,3304,3525,3335,3144,3265,3509,3753,3663,3543,3366,3200,3329,3400,3726,3458,3232,3373,3650,3796,3737,3570,3426,3241,3324,3620,3808,3552,3205,3462,3844,4065,3935,3606,3535,3395,3441,3691,4163,3667,3339,3510,3800,4087,3727,3619,3556,3409,3402,3595,3989,3660,3409,3444,3753,3892,3747,3600,3399,3212,3335,3530,3745,3794,3274,3454,3785,4107,3807,3618,3519,3423,3527,3859,4115,3765,3512,3594,3963,4189,3999,3844,3674,3544,3618,4079,4221,3813,3553,3565,3940,4319
"Heat",365,295,228,121,77,46,42,40,43,90,193,399,370,304,252,137,71,49,45,41,43,82,188,323,424,343,252,122,73,54,56,48,45,87,225,346,414,358,271,140,77,61,63,61,56,93,260,447,496,465,272,155,100,66,64,58,56,132,238,431,472,383,285,189,95,69,69,68,64,107,254,417,434,382,292,200,103,78,75,81,72,141,262,472,549,390,279,162,119,89,92,81,77,134,266,462,537,462,321,166,109,95,97,94,85,148,226,532,523